GeneID,log2FC gene expression at 24 hours post infection,log2FC gene expression at 48 hours post infection,"siRNA_Screen_Average_Zscore, higher is greater negative effect on dengue infection",log2FC protein abundance at 24 hours post infection,GeneSymbol_48hpi,log2FC protein abundance at 48 hours post infection,dengue proteins that bind this protein
3627,,,,11.5141626,CXCL10,12.622518,
6373,,,,7.872891809,CXCL11,11.94954665,
6355,,,,9.317998522,CCL8,11.84429203,
79931,,,,5.081562335,TNIP3,10.90977375,
3434,3.970117068,6.283329563,,8.548467957,IFIT1,10.7981352,
202151,,,1.259171857,7.063673884,RANBP3L,9.733418682,
282618,,,,7.305892326,IFNL1,9.670034845,
109245082,,,,4.106739691,PRAL,9.601909938,
8519,,,,5.793175389,IFITM1,9.348815053,
135398,,,,6.609377237,C6orf141,9.294847264,
200315,,,,6.532211087,APOBEC3A,9.230324715,
91543,,,,6.689114369,RSAD2,9.149451093,
10964,,2.64704648,1.54023955,6.093850191,IFI44L,9.038601577,
3592,,,,5.974433406,IL12A,8.678697069,
2191,,,,4.024459637,FAP,8.539887815,
100128990,,,,6.554079551,MED6P1,8.533873776,
129607,2.040383286,5.130396927,,5.051996257,CMPK2,8.334799005,
6866,,,,3.753710748,TAC3,8.310820224,
3437,3.494644087,5.69825699,,8.197744299,IFIT3,8.15284245,"ZIKVfp NS5,ZIKVug NS5"
81030,,,,7.415695975,ZBP1,7.994080836,
5332,,,,5.02908603,PLCB4,7.894256807,
223117,,,,4.448537723,SEMA3D,7.837903065,
115361,,,1.335124347,6.086862789,GBP4,7.787938406,
3805,,,,3.399939034,KIR2DL4,7.763630421,"DENV2 16681 NS4A,ZIKVfp NS4A,ZIKVug NS4A"
653232,,,,7.790947759,RPL15P3,7.746835595,DENV2 16681 NS4A
139411,,,,,PTCHD1,7.719531993,
6328,,,,3.900109198,SCN3A,7.675118804,
105378020,,,,4.053662304,LINC02528,7.64752147,
8638,,2.916732074,,5.3621638,OASL,7.629658174,
389903,,,,4.445062748,CSAG3,7.610430744,
102723547,,,,4.776230161,CSAG2,7.48228482,
101929628,,,,4.330464244,LINC02842,7.463384011,
387700,,,,7.800128375,SLC16A12,7.356990346,
101927139,,,,6.587257008,PDE4B-AS1,7.335466066,
51191,,,1.212637102,6.083065282,HERC5,7.300224041,
92745,,,,4.854372125,SLC38A5,7.169937763,
105369192,,,,3.765969579,PPM1K-DT,7.156340564,
3467,,,,,IFNW1,7.068126321,
282617,,,,,IFNL3,7.010407868,
1672,,,,4.107167339,DEFB1,6.970638779,
54072,,,,4.570013551,LINC00158,6.927777877,"ZIKVfp NS5,ZIKVug NS5"
400759,,,,5.335365909,GBP1P1,6.881713374,
150992,,,,5.940680549,LINC00309,6.839057058,"ZIKVfp NS5,ZIKVug NS5"
162517,,,,,FBXO39,6.770261229,
9447,,,,5.117270866,AIM2,6.763267703,
400696,,,,4.993028701,LGALS17A,6.663015734,
9582,,,,5.127093366,APOBEC3B,6.635819654,
116039,,,,5.188367621,OSR2,6.565921098,
2227,,,,6.439771969,FDPSP3,6.536289166,
